id_estacion,hour,weekNumber,dayOfWeek,lat,long,num_bikes_available
2.0,11,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,11,38,3,-34.59242329999999,-58.37471510000001,2.0
2.0,11,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,11,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,11,38,6,-34.59242329999999,-58.37471510000001,0.0
2.0,12,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,12,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,12,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,12,38,3,-34.59242329999999,-58.37471510000001,1.0
2.0,12,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,12,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,13,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,13,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,13,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,13,38,3,-34.59242329999999,-58.37471510000001,2.0
2.0,13,38,4,-34.59242329999999,-58.37471510000001,1.0
2.0,13,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,14,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,14,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,14,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,14,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,14,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,14,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,15,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,15,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,15,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,15,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,15,38,4,-34.59242329999999,-58.37471510000001,1.0
2.0,15,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,16,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,17,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,18,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,18,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,18,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,18,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,18,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,18,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,19,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,19,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,19,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,19,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,19,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,19,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,20,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,21,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,21,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,21,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,21,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,21,38,4,-34.59242329999999,-58.37471510000001,1.0
2.0,21,38,5,-34.59242329999999,-58.37471510000001,1.0
2.0,22,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,22,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,22,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,22,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,22,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,22,38,5,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,0,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,1,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,2,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,3,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,4,-34.59242329999999,-58.37471510000001,0.0
2.0,23,38,5,-34.59242329999999,-58.37471510000001,0.0
3.0,0,38,0,-34.611032,-58.3682604,0.0
3.0,0,38,1,-34.611032,-58.3682604,0.0
3.0,0,38,2,-34.611032,-58.3682604,1.0
3.0,0,38,3,-34.611032,-58.3682604,0.0
3.0,0,38,4,-34.611032,-58.3682604,0.0
3.0,0,38,5,-34.611032,-58.3682604,0.0
3.0,0,38,6,-34.611032,-58.3682604,0.0
3.0,1,38,0,-34.611032,-58.3682604,1.0
3.0,1,38,1,-34.611032,-58.3682604,0.0
3.0,1,38,2,-34.611032,-58.3682604,1.0
3.0,1,38,3,-34.611032,-58.3682604,0.0
3.0,1,38,4,-34.611032,-58.3682604,0.0
3.0,1,38,5,-34.611032,-58.3682604,0.0
3.0,1,38,6,-34.611032,-58.3682604,0.0
3.0,2,38,0,-34.611032,-58.3682604,0.0
3.0,2,38,1,-34.611032,-58.3682604,0.0
3.0,2,38,2,-34.611032,-58.3682604,1.0
3.0,2,38,3,-34.611032,-58.3682604,0.0
3.0,2,38,4,-34.611032,-58.3682604,0.0
3.0,2,38,5,-34.611032,-58.3682604,0.0
3.0,2,38,6,-34.611032,-58.3682604,0.0
3.0,3,38,0,-34.611032,-58.3682604,0.0
3.0,3,38,1,-34.611032,-58.3682604,0.0
3.0,3,38,2,-34.611032,-58.3682604,0.0
3.0,3,38,3,-34.611032,-58.3682604,0.0
3.0,3,38,4,-34.611032,-58.3682604,0.0
3.0,3,38,5,-34.611032,-58.3682604,0.0
3.0,3,38,6,-34.611032,-58.3682604,0.0
3.0,4,38,0,-34.611032,-58.3682604,0.0
3.0,4,38,1,-34.611032,-58.3682604,0.0
3.0,4,38,2,-34.611032,-58.3682604,0.0
3.0,4,38,3,-34.611032,-58.3682604,0.0
3.0,4,38,4,-34.611032,-58.3682604,0.0
3.0,4,38,5,-34.611032,-58.3682604,0.0
3.0,4,38,6,-34.611032,-58.3682604,1.0
3.0,5,38,0,-34.611032,-58.3682604,0.0
3.0,5,38,1,-34.611032,-58.3682604,0.0
3.0,5,38,2,-34.611032,-58.3682604,0.0
3.0,5,38,3,-34.611032,-58.3682604,0.0
3.0,5,38,4,-34.611032,-58.3682604,1.0
3.0,5,38,5,-34.611032,-58.3682604,0.0
3.0,5,38,6,-34.611032,-58.3682604,1.0
3.0,6,38,0,-34.611032,-58.3682604,1.0
3.0,6,38,1,-34.611032,-58.3682604,0.0
