station_id,month,dayOfWeek,semana_ano,hour,lat,long,num_bikes_available
39,10,4,43,18,-34.6092213,-58.38769250000001,0.0
39,10,4,43,19,-34.6092213,-58.38769250000001,0.0
39,10,4,43,20,-34.6092213,-58.38769250000001,0.0
39,10,4,43,21,-34.6092213,-58.38769250000001,1.0
39,10,4,43,22,-34.6092213,-58.38769250000001,1.0
39,10,4,43,23,-34.6092213,-58.38769250000001,1.0
39,10,5,43,0,-34.6092213,-58.38769250000001,1.0
39,10,5,43,1,-34.6092213,-58.38769250000001,2.0
39,10,5,43,2,-34.6092213,-58.38769250000001,1.0
39,10,5,43,3,-34.6092213,-58.38769250000001,0.0
39,10,5,43,4,-34.6092213,-58.38769250000001,1.0
39,10,5,43,5,-34.6092213,-58.38769250000001,1.0
39,10,5,43,6,-34.6092213,-58.38769250000001,1.0
39,10,5,43,7,-34.6092213,-58.38769250000001,1.0
39,10,5,43,8,-34.6092213,-58.38769250000001,1.0
39,10,5,43,9,-34.6092213,-58.38769250000001,1.0
39,10,5,43,10,-34.6092213,-58.38769250000001,0.0
39,10,5,43,11,-34.6092213,-58.38769250000001,0.0
39,10,5,43,12,-34.6092213,-58.38769250000001,1.0
39,10,5,43,13,-34.6092213,-58.38769250000001,1.0
39,10,5,43,14,-34.6092213,-58.38769250000001,1.0
39,10,5,43,15,-34.6092213,-58.38769250000001,1.0
39,10,5,43,16,-34.6092213,-58.38769250000001,0.0
39,10,5,43,17,-34.6092213,-58.38769250000001,0.0
39,10,5,43,18,-34.6092213,-58.38769250000001,1.0
39,10,5,43,19,-34.6092213,-58.38769250000001,1.0
39,10,5,43,20,-34.6092213,-58.38769250000001,1.0
39,10,5,43,21,-34.6092213,-58.38769250000001,1.0
39,10,5,43,22,-34.6092213,-58.38769250000001,1.0
39,10,5,43,23,-34.6092213,-58.38769250000001,0.0
39,10,6,43,0,-34.6092213,-58.38769250000001,0.0
39,10,6,43,1,-34.6092213,-58.38769250000001,1.0
39,10,6,43,2,-34.6092213,-58.38769250000001,7.0
39,10,6,43,3,-34.6092213,-58.38769250000001,7.0
39,10,6,43,4,-34.6092213,-58.38769250000001,4.0
39,10,6,43,5,-34.6092213,-58.38769250000001,3.0
39,10,6,43,6,-34.6092213,-58.38769250000001,2.0
39,10,6,43,7,-34.6092213,-58.38769250000001,1.0
39,10,6,43,8,-34.6092213,-58.38769250000001,1.0
39,10,6,43,9,-34.6092213,-58.38769250000001,2.0
39,10,6,43,10,-34.6092213,-58.38769250000001,0.0
39,10,6,43,11,-34.6092213,-58.38769250000001,0.0
39,10,6,43,12,-34.6092213,-58.38769250000001,1.0
39,10,6,43,13,-34.6092213,-58.38769250000001,1.0
39,10,6,43,14,-34.6092213,-58.38769250000001,1.0
39,10,6,43,15,-34.6092213,-58.38769250000001,1.0
39,10,6,43,16,-34.6092213,-58.38769250000001,1.0
39,10,6,43,17,-34.6092213,-58.38769250000001,1.0
39,10,6,43,18,-34.6092213,-58.38769250000001,0.0
39,10,6,43,19,-34.6092213,-58.38769250000001,0.0
39,10,6,43,20,-34.6092213,-58.38769250000001,2.0
39,10,6,43,21,-34.6092213,-58.38769250000001,0.0
39,10,6,43,22,-34.6092213,-58.38769250000001,1.0
39,10,6,43,23,-34.6092213,-58.38769250000001,1.0
40,10,0,43,0,-34.604461,-58.373499,0.0
40,10,0,43,1,-34.604461,-58.373499,0.0
40,10,0,43,2,-34.604461,-58.373499,0.0
40,10,0,43,3,-34.604461,-58.373499,0.0
40,10,0,43,4,-34.604461,-58.373499,0.0
40,10,0,43,5,-34.604461,-58.373499,0.0
40,10,0,43,6,-34.604461,-58.373499,0.0
40,10,0,43,7,-34.604461,-58.373499,1.0
40,10,0,43,8,-34.604461,-58.373499,2.0
40,10,0,43,9,-34.604461,-58.373499,3.0
40,10,0,43,10,-34.604461,-58.373499,5.0
40,10,0,43,11,-34.604461,-58.373499,5.0
40,10,0,43,12,-34.604461,-58.373499,3.0
40,10,0,43,13,-34.604461,-58.373499,0.0
40,10,0,43,14,-34.604461,-58.373499,1.0
40,10,0,43,15,-34.604461,-58.373499,0.0
